feature,high_train_median,low_median,abs_gap
WS (mg/L),610.0,2685.0,2075.0
Pressure (kPa),725.0,552.0,173.0
MB MWCO (Da),118.0,250.0,132.0
RD_MW,253.28300000000002,186.29499999999996,66.98800000000006
Compound Mw (g/mol),253.28,194.194,59.08600000000001
RMS roughness (nm),60.2,9.0,51.2
Measurement time (min),30.0,10.0,20.0
RD_TPSA,55.56,46.53,9.030000000000001
"MB surface energy, γm (J·m-2)",42.7820541164858,45.8667681953807,3.0847140788948977
Surface tension γs (dyne·cm-1),52.8,50.0,2.799999999999997
MB contact angle (°),54.1,51.6,2.5
pKa1,5.41,7.84,2.4299999999999997
