Name of MB,Type of MB,Types of contaminants,CAS,SMILES,Compound Mw (g/mol),Compound size (nm),Compound stokes radius rs (nm),Compound charge,Compound log K ow,Density (g·cm-3),Diffusion coefficient (cm2·s-1),pKa1,pKa2,log D (pH=5.5),log D (pH=7.4),WS (mg/L),MinPartialCharge,MaxPartialCharge,Surface tension γs (dyne·cm-1),Min projection (Å),Max projection (Å),Total charge,E,S,A,B,V,MB MWCO (Da),MB pore radius rp (nm),rs/rp,ΦS,ΦD,∆Gs-m (J·m-2),MB contact angle (°),"MB surface energy, γm (J·m-2)",MB zeta potential (mV),"MB surface charge density , σm (mC·m-2)","MB volume charge density, δm (mol·m-3)",RMS roughness (nm),Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),pH,Reference,RD_MW,RD_LogP,RD_TPSA,RD_HBA,RD_HBD,RD_Rings,RD_RotBonds,RD_FracCSP3,Removal rate (%),zone
NF90,NF,Glutaric acid,110-94-1,O=C(O)CCCC(=O)O,132.115,0.409434976522524,0.309664286290564,-2.0,0.046,1.429,4.15059186767631e-09,5.41,,,,640000.0,-0.481230227975588,0.302855790648419,56.1,3.23,5.19,54.58,0.36,1.28,1.05,0.75,0.9619,118.0,0.23866774606206,1.29747019192968,0.0884885150866807,0.119419405915831,-1.05301535145567,63.2,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,482.633,10.0,11.0,9.0,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,132.115,0.32590000000000025,74.6,2,2,0,4,0.6,92.61,high
NF90,NF,"2,4-Dihydroxybenzoic acid",89-86-1,O=C(O)C1=CC=C(O)C=C1O,154.121,0.42578750568799,0.332683215319301,-1.0,1.674,1.559,3.70262761444497e-09,3.11,,-1.1,-1.41,5780.0,-0.507822480145235,0.338973937207279,84.2,3.59,5.05,27.29,1.14,1.16,1.06,0.56,1.0491,118.0,0.23866774606206,1.39391778239191,0.15517121928456,0.345571130038132,-1.68239622973843,63.2,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,482.633,10.0,1.6,6.5,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,154.12099999999998,0.7959999999999998,77.76,3,3,1,1,0.0,91.95,high
BW30,RO,4-Chlorophenol,106-48-9,OC1=CC=C(Cl)C=C1,128.56,0.393602591454884,0.305758028192424,-0.0108,2.274,1.2238,2.89155141742474e-09,9.41,,2.39,2.39,24000.0,-0.507965185846035,0.115179759988827,44.7,3.39,4.57,0.175608,0.92,1.08,0.67,0.2,0.8975,100.0,0.217648387362773,1.4048256083919,0.163883773209872,0.99318589180149,-0.98373689241579,76.0,61.7818785666909,-16.26,-1.20662429949634,-57.4586362189063,68.3,2000.0,10.0,0.6428,7.0,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes,128.558,2.0456,20.23,1,1,1,0,0.0,82.76,low
NF90,NF,Acetaminophen,103-90-2,CC(=O)NC1=CC=C(O)C=C1,151.165,0.444840420825266,0.329698226496231,0.0,0.907,1.293,3.25613433569989e-09,9.5,,0.49,0.49,14000.0,-0.507964315792578,0.220747436312425,52.8,3.49,5.67,0.0,1.12,1.63,1.01,0.91,1.1724,118.0,0.23866774606206,1.38141090254609,0.145474276581023,1.0,-0.969536829445799,41.4,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,1500.0,10.0,0.5,4.0,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,151.165,1.3505999999999998,49.33,2,2,1,1,0.125,91.04,high
NF270,NF,Carbamazepine,298-46-4,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C21,236.274,0.507984251724401,0.405870770131068,0.0,2.766,1.266,1.76505511914234e-09,13.9,,2.28,2.28,18.0,-0.350883837448266,0.323422196174131,,4.48,5.76,0.0,2.15,1.9,0.5,1.15,1.8106,340.0,0.430317700421346,0.943188648139873,0.00322752970017515,1.0,,35.0,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,800.0,1440.0,0.3,7.0,Nanofiltration for wastewater reuse: Counteractive effects of fouling and matrice on the rejection of pharmaceutical active compounds,236.274,3.3872000000000018,46.330000000000005,1,1,3,0,0.0,31.0,low
SB50,RO,Tribromoacetic acid,75-96-7,O=C(O)C(Br)(Br)Br,296.74,0.366393231378529,0.451277658539598,-0.9984,1.98,3.098,1.09749890685452e-05,0.72,,-1.25,-1.26,200000.0,-0.478918559156417,0.342015253924122,78.4,3.39,3.96,10.9824,1.08,1.26,0.98,0.31,0.9898,152.0,0.274816201263342,1.64210718460213,0.412301636517674,0.652066944493388,-1.88583307543645,63.0,52.8815417227594,-11.0,-0.808970155470014,-30.5090628904823,,689.476,10.0,0.1,3.5,Removal of haloacetic acids from swimming pool water by reverse osmosis and nanofiltration,296.74,1.9095,37.3,1,1,0,0,0.5,83.672,low
NF270,NF,MCPA,94-74-6,CC1=CC(Cl)=CC=C1OCC(=O)O,200.62,0.516009689831499,0.376118733301768,-1.0,2.411,1.56,9.19665358944346e-06,3.07,,0.2,-1.09,630.0,-0.48163817600434,0.341222404120302,,4.18,6.37,42.7,1.023,1.408,0.502,0.925,1.4161,340.0,0.430317700421346,0.87404894786687,0.0158636675334424,0.189653457263089,1.89953149323457,17.5,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,1000.0,10.0,1.0,7.0,"The eﬀect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",200.62099999999998,2.11182,46.53,2,1,1,3,0.2222222222222222,66.746,low
NF200,NF,2-Naphthalenesulfonic acid,120-18-3,O=S(=O)(O)C1=CC=C2C=CC=CC2=C1,206.285,0.482712129534778,0.381024800219834,-1.0,2.144,1.423,2.70129739651841e-09,0.27,,-2.69,-2.7,60000.0,-0.2817916062671,0.294033163760985,58.7,3.89,5.99,20.5,1.948,2.6,0.003,1.173,1.425,300.0,0.40133958063462,0.949382564304613,0.00256212479637664,0.450146137898121,-1.1029320163181,30.3,35.7017071660267,-20.5,-1.53617815656346,-39.6705565430239,5.2,448.159,10.0,1.6,5.0,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,208.238,2.0865,54.370000000000005,2,1,2,1,0.0,90.537,high
SW30XLE,RO,1-Butanol ,71-36-3,CCCCO,74.1,0.355834231068345,0.23659926654907,0.0,0.84,0.8098,2.96195542612578e-09,16.1,,0.88,0.88,68000.0,-0.39637675206921,0.0430422834852069,26.0,2.82,4.49,0.0,0.22,0.42,0.37,0.48,0.7309,100.0,0.217648387362773,1.08707107558169,0.00758137220295236,1.0,-0.184120423827595,55.0,47.8630498332721,-15.0,-1.11037496503814,-52.8753077568041,,1550.0,10.0,2000.0,7.0,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,74.12299999999999,0.7787999999999999,20.23,1,1,0,2,1.0,94.7,high
HL,RO,Norfloxacin,70458-96-7,CCN1C=C(C(=O)O)C(=O)C2=CC(F)=C(N3CCNCC3)C=C21,319.336,0.619599870884428,0.466957079213674,0.0532,-0.97,1.344,6.36314377651065e-06,6.34,8.75,-3.18,-3.0,178000.0,-0.477497024099065,0.340722850602156,53.1,5.16,7.44,-0.5852,1.98,2.5,0.05,2.39,2.2724,190.0,0.311186830590451,1.50056825453591,0.250568577449128,1.02304677001352,-1.08253768970671,26.8,55.0,-11.0,-0.808970155470014,-26.9432506245784,,500.0,30.0,0.02,7.0,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,319.336,1.2683,74.57000000000001,4,2,3,3,0.375,99.459,high
