feature,high_train_median,low_median,abs_gap
WS (mg/L),610.0,793.0,183.0
Pressure (kPa),725.0,552.0,173.0
RMS roughness (nm),60.2,9.0,51.2
Measurement time (min),30.0,10.0,20.0
pKa1,5.41,7.9,2.49
RD_RotBonds,3.0,2.0,1.0
Initial concentration of compound (mg/L),0.8,0.292378,0.507622
RD_FracCSP3,0.46153846153846156,0.3,0.16153846153846158
Compound log K ow,1.781,1.631,0.1499999999999999
log D (pH=5.5),1.1,1.0,0.10000000000000009
A,0.58,0.5,0.07999999999999996
∆Gs-m (J·m-2),-1.00585489089343,-0.945405687077736,0.060449203815693964
