feature,display_feature
"num__Compound charge","Compound charge"
"num__Compound log K ow","Compound log K ow"
"num__Density (g·cm-3)","Density (g·cm-3)"
"num__Diffusion coefficient (cm2·s-1)","Diffusion coefficient (cm2·s-1)"
"num__pKa1","pKa1"
"num__log D (pH=5.5)","log D (pH=5.5)"
"num__WS (mg/L)","WS (mg/L)"
"num__MaxPartialCharge","MaxPartialCharge"
"num__Surface tension γs (dyne·cm-1)","Surface tension γs (dyne·cm-1)"
"num__Min projection (Å)","Min projection (Å)"
"num__E","E"
"num__S","S"
"num__A","A"
"num__B","B"
"num__MB pore radius rp (nm)","MB pore radius rp (nm)"
"num__ΦS","ΦS"
"num__ΦD","ΦD"
"num__∆Gs-m (J·m-2)","∆Gs-m (J·m-2)"
"num__MB contact angle (°)","MB contact angle (°)"
"num__MB surface energy, γm (J·m-2)","MB surface energy, γm (J·m-2)"
"num__MB zeta potential (mV)","MB zeta potential (mV)"
"num__RMS roughness (nm)","RMS roughness (nm)"
"num__Pressure (kPa)","Pressure (kPa)"
"num__Measurement time (min)","Measurement time (min)"
"num__Initial concentration of compound (mg/L)","Initial concentration of compound (mg/L)"
"num__pH","pH"
"cat__Type of MB__RO","Type of MB = RO"
"cat__Type of MB__NF","Type of MB = NF"
"cat__pKa2__nan","pKa2 = nan"
"cat__pKa2__<rare>","pKa2 = <rare>"
"cat__pKa2__5.7","pKa2 = 5.7"
"cat__pKa2__7.928","pKa2 = 7.928"
"cat__pKa2__9.04","pKa2 = 9.04"
"cat__pKa2__0.3","pKa2 = 0.3"
"cat__pKa2__2.74","pKa2 = 2.74"
"cat__pKa2__7.12","pKa2 = 7.12"
"cat__pKa2__7.65","pKa2 = 7.65"
"cat__Reference__<rare>","Reference = <rare>"
"cat__Reference__Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water","Reference = Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water"
"cat__Reference__Effect of Flux (Transmembrane Pressure) and Membrane Properties on Fouling and Rejection of Reverse Osmosis and Nanofiltration Membranes Treating Perfluorooctane Sulfonate Containing Wastewater","Reference = Effect of Flux (Transmembrane Pressure) and Membrane Properties on Fouling and Rejection of Reverse Osmosis and Nanofiltration Membranes Treating Perfluorooctane Sulfonate Containing Wastewater"
"cat__Reference__Rejection of trace organic compounds by high-pressure membranes","Reference = Rejection of trace organic compounds by high-pressure membranes"
"cat__Reference__Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes","Reference = Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes"
"cat__Reference__Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis","Reference = Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis"
"cat__Reference__Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR","Reference = Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR"
"cat__Reference__Proposing nanofilltration as acceptable barrier for organic contaminants in water reuse","Reference = Proposing nanofilltration as acceptable barrier for organic contaminants in water reuse"
"cat__Reference__The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes","Reference = The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes"
"cat__Reference__Effect of silica fouling on the removal of pharmaceuticals and personal care products by nanofilltration and reverse osmosis membranes","Reference = Effect of silica fouling on the removal of pharmaceuticals and personal care products by nanofilltration and reverse osmosis membranes"
"cat__Reference__Removal of haloacetic acids from swimming pool water by reverse osmosis and nanofiltration","Reference = Removal of haloacetic acids from swimming pool water by reverse osmosis and nanofiltration"
"cat__Reference__Nanofiltration and granular activated carbon treatment of perfluoroalkyl acids","Reference = Nanofiltration and granular activated carbon treatment of perfluoroalkyl acids"
"cat__Reference__The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties","Reference = The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties"
"cat__Reference__Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration","Reference = Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration"
"cat__Reference__Rejection of organic micropollutants (disinfection by-products, endocrine disrupting compounds, and pharmaceutically active compounds) by NF/RO membranes","Reference = Rejection of organic micropollutants (disinfection by-products, endocrine disrupting compounds, and pharmaceutically active compounds) by NF/RO membranes"
"cat__Reference__A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration","Reference = A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration"
"cat__Reference__Influences of temperature on the retention of PPCPs by nanofiltration membranes: Experiments and modeling assessment","Reference = Influences of temperature on the retention of PPCPs by nanofiltration membranes: Experiments and modeling assessment"
"cat__Reference__Relation between membrane characteristics and performance in nanofiltration","Reference = Relation between membrane characteristics and performance in nanofiltration"
"cat__Reference__Rejection of pharmaceuticals and personal care products (PPCPs) and endocrine disrupting chemicals (EDCs) by low pressure reverse osmosis membranes","Reference = Rejection of pharmaceuticals and personal care products (PPCPs) and endocrine disrupting chemicals (EDCs) by low pressure reverse osmosis membranes"
"cat__Reference__A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes","Reference = A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes"
"cat__Reference__Selection of High Flux Membrane for the Eﬀective Removal of ShortChain Perﬂuorocarboxylic Acids","Reference = Selection of High Flux Membrane for the Eﬀective Removal of ShortChain Perﬂuorocarboxylic Acids"
"cat__Reference__Perﬂuorooctane sulfonate removal by nanoﬁltration membrane the role of calcium ions","Reference = Perﬂuorooctane sulfonate removal by nanoﬁltration membrane the role of calcium ions"
