,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Number,1501.0,,,,1035.3617588274483,563.2035171321031,1.0,548.0,1035.0,1511.0,2102.0
Name of MB,1501,44,NF270,277,,,,,,,
Type of MB,1501,2,NF,910,,,,,,,
Types of contaminants,1501,176,Sulfamethoxazole,63,,,,,,,
CAS,1501,175,723-46-6,63,,,,,,,
SMILES,1501,191,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,63,,,,,,,
Compound Mw (g/mol),1501.0,,,,245.07897335109925,105.60698359277488,30.026,165.82,236.274,290.323,733.937
Compound size (nm),1501.0,,,,0.4954780233534118,0.09560702585433693,0.220617315730203,0.442954850972421,0.507984251724401,0.565402511490708,0.797844596397068
Compound stokes radius rs (nm),1501.0,,,,0.40319619936878337,0.08292980653221153,0.155391524454143,0.344206461163455,0.405870770131068,0.44670933027277,0.687824430589512
Compound charge,1501.0,,,,-0.271353164556962,0.627007176214897,-2.0,-0.9891,0.0,0.0,1.0033
Compound log K ow,1501.0,,,,1.7427501665556293,1.9308412134460045,-4.529,0.786,1.682,2.899,6.514
Density (g·cm-3),1355.0,,,,1.378269003690037,0.3711490241435563,0.74,1.21,1.32,1.4895,3.42
Diffusion coefficient (cm2·s-1),1355.0,,,,3.233045286663192e-06,4.142770611464823e-06,6.58786284917566e-10,1.86787088404884e-09,3.70262761444497e-09,7.35106530218672e-06,1.86569284231393e-05
pKa1 ,1283.0,,,,7.25731566640686,5.158331765662729,-3.7,2.65,6.9,12.14,17.6
pKa2,452.0,,,,5.678840707964602,3.598879956501795,-3.63,2.74,7.12,7.928,16.61
log D (pH=5.5),1331.0,,,,1.0732456799398948,2.059624715553611,-5.39,-0.09,1.1,2.48,5.71
log D (pH=7.4),1321.0,,,,0.8365177895533686,2.0957547244427723,-5.39,-0.56,0.75,2.44,5.71
WS (mg/L),1492.0,,,,126956.99740348525,394119.4874887265,0.135,100.0,673.97,14000.0,5250000.0
MinPartialCharge,1481.0,,,,-0.27831635508298225,0.618890738810196,-0.618154465840176,-0.481433475172105,-0.398727717127439,-0.330653037917902,2.80316778090608
MaxPartialCharge,1495.0,,,,0.36645768689152197,0.582557470952762,-0.0397745263236275,0.189629162907463,0.265685211287535,0.331703432635988,3.29741248029618
Surface tension γs (dyne·cm-1) ,1357.0,,,,51.15012822402358,26.576684539412366,1.57,39.0,51.7,58.8,540.5
Min projection (Å),1501.0,,,,4.1225383077948035,0.7593430621474951,2.08,3.5,4.11,4.53,6.83
Max projection (Å),1501.0,,,,6.004823451032645,1.4350056162990035,2.34,5.05,5.89,7.04,9.32
Total charge,1501.0,,,,7.513089249167221,18.83351054766998,-70.18095,0.0,0.0,18.37,100.5472
E,1501.0,,,,1.2218927381745501,0.8620767165130355,-1.209,0.79,1.189,1.89,3.85799999999999
S,1501.0,,,,1.6843204530313125,0.8786117886993063,0.021,1.161,1.53,2.23,4.281
A,1501.0,,,,0.5146942038640905,0.3933216789004249,0.0,0.15,0.55,0.71,3.0
B,1501.0,,,,1.10972618254497,0.6878439689643895,0.0,0.641,1.02,1.44,4.96
V,1501.0,,,,1.6452636908727507,0.6953560581990363,0.2652,1.1724,1.7225,2.0043,5.773
MB MWCO (Da),1501.0,,,,200.03568954030646,105.63664436425877,65.0,100.0,150.0,310.0,460.0
MB pore radius rp (nm),1501.0,,,,0.3094947646804695,0.09235071716801072,0.171217516485414,0.217648387362773,0.272796180254854,0.408736966210894,0.509227168082623
rs/rp,1501.0,,,,1.4100306467336106,0.47308581166987107,0.433659729247024,1.03678799073075,1.33584289163984,1.75647561937335,2.88193290437603
ΦS,1501.0,,,,0.3917862090789116,0.5486625003608908,5.870100687731e-07,0.0207688852938737,0.127564423022979,0.572255362706293,3.5416714565732
ΦD,1501.0,,,,0.9714709501373023,0.8916342136379294,0.0199429168072881,0.4890699083973,1.0,1.0,15.3720103381004
∆Gs-m (J·m-2),1367.0,,,,-0.9056058345482146,0.6671276009957968,-7.55883418544517,-1.2557456873567951,-0.98268940309678,-0.614992087979724,2.32273718532062
MB contact angle (°),1501.0,,,,51.923850766155894,15.66213061160734,14.4,40.6,54.1,64.1,79.4
"MB surface energy, γm (J·m-2)",1501.0,,,,47.61578956811438,8.384271511992846,31.4378265939391,41.81,43.8532610584624,57.5807121916701,64.215042140265
MB zeta potential (mV),1501.0,,,,-26.265036642238506,11.965055607141565,-75.1,-33.0,-27.29,-16.26,-3.2
"MB surface charge density , σm (mC·m-2)",1501.0,,,,-2.0570742752055176,1.022634158038545,-7.65170750400516,-2.57747636082803,-2.08669307882832,-1.20662429949634,-0.233699904741334
"MB volume charge density, δm (mol·m-3)",1501.0,,,,-72.21837829458303,33.82813885381695,-170.09014908769,-90.6157197257609,-84.0010581590725,-43.054445595267,-6.93164101824909
RMS roughness (nm),1216.0,,,,53.57927631578948,48.271768690197845,4.0,9.0,52.9,89.1,129.5
Pressure (kPa),1501.0,,,,760.8392698201199,412.57549047581887,240.0,500.0,689.476,1000.0,3500.0
Measurement time (min),1501.0,,,,465.28027981345764,955.6377393877112,10.0,10.0,10.0,360.0,5760.0
Initial concentration of compound (mg/L),1501.0,,,,44.912456742147896,254.12059779854198,0.0003,0.0408458,0.5,10.0,2000.0
pH,1501.0,,,,6.639573617588274,1.5360836190596867,2.2,7.0,7.0,7.0,10.0
Removal rate (%),1501.0,,,,77.46121272485011,26.90416186670787,0.0,69.25,90.0,96.45,100.0
Reference,1501,58,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,168,,,,,,,
